participant,target,outer_fold,outer_folds,outer_train_size,outer_test_size,low_count,high_count,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,selection_fold,tuning_best_parameters,tuning_inner_balanced_accuracy,selection_validation_ba_fixed_050,selected_candidate
P31,arousal,1,5,95,24,61,58,logreg,all_eeg,all_channels,8,primary,120,1,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.42727272727272725,0.4980392156862745,False
P31,arousal,1,5,95,24,61,58,logreg,all_eeg,all_channels,8,primary,120,2,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.45606060606060606,0.3125,False
P31,arousal,1,5,95,24,61,58,logreg,all_eeg,all_channels,8,primary,120,3,"{""classifier__C"": 0.1, ""classifier__class_weight"": null}",0.4696969696969697,0.5166666666666666,False
P31,arousal,1,5,95,24,61,58,svm,all_eeg,all_channels,8,primary,120,1,"{""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.47727272727272724,0.5274509803921569,False
P31,arousal,1,5,95,24,61,58,svm,all_eeg,all_channels,8,primary,120,2,"{""classifier__C"": 10, ""classifier__class_weight"": ""balanced"", ""classifier__kernel"": ""linear""}",0.5075757575757576,0.34375,False
P31,arousal,1,5,95,24,61,58,svm,all_eeg,all_channels,8,primary,120,3,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5,0.5,False
P31,arousal,1,5,95,24,61,58,gnb,all_eeg,all_channels,8,primary,120,1,"{""classifier__var_smoothing"": 1e-11}",0.4893939393939393,0.6745098039215687,False
P31,arousal,1,5,95,24,61,58,gnb,all_eeg,all_channels,8,primary,120,2,"{""classifier__var_smoothing"": 1e-11}",0.4257575757575758,0.4375,False
P31,arousal,1,5,95,24,61,58,gnb,all_eeg,all_channels,8,primary,120,3,"{""classifier__var_smoothing"": 1e-11}",0.48636363636363633,0.5166666666666666,False
P31,arousal,1,5,95,24,61,58,logreg,all_eeg,all_channels,10,primary,120,1,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.45606060606060606,0.5313725490196078,False
P31,arousal,1,5,95,24,61,58,logreg,all_eeg,all_channels,10,primary,120,2,"{""classifier__C"": 1, ""classifier__class_weight"": null}",0.47272727272727266,0.34375,False
P31,arousal,1,5,95,24,61,58,logreg,all_eeg,all_channels,10,primary,120,3,"{""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced""}",0.45454545454545453,0.5520833333333333,False
P31,arousal,1,5,95,24,61,58,svm,all_eeg,all_channels,10,primary,120,1,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.4803030303030303,0.5,False
P31,arousal,1,5,95,24,61,58,svm,all_eeg,all_channels,10,primary,120,2,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5,0.3125,False
P31,arousal,1,5,95,24,61,58,svm,all_eeg,all_channels,10,primary,120,3,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.5,0.5229166666666667,False
P31,arousal,1,5,95,24,61,58,gnb,all_eeg,all_channels,10,primary,120,1,"{""classifier__var_smoothing"": 1e-11}",0.503030303030303,0.5490196078431372,False
P31,arousal,1,5,95,24,61,58,gnb,all_eeg,all_channels,10,primary,120,2,"{""classifier__var_smoothing"": 1e-11}",0.4545454545454546,0.40625,False
P31,arousal,1,5,95,24,61,58,gnb,all_eeg,all_channels,10,primary,120,3,"{""classifier__var_smoothing"": 1e-11}",0.45454545454545453,0.5520833333333333,False
P31,arousal,1,5,95,24,61,58,logreg,paper_compact,all_channels,8,secondary,64,1,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.5393939393939394,0.5901960784313726,False
