participant,target,outer_fold,outer_folds,outer_train_size,outer_test_size,low_count,high_count,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,selection_fold,tuning_best_parameters,tuning_inner_balanced_accuracy,selection_validation_ba_fixed_050,selected_candidate
P19,arousal,1,5,96,24,65,55,gnb,paper_compact,all_channels,8,secondary,64,3,"{""classifier__var_smoothing"": 1e-11}",0.5398989898989899,0.5714285714285714,False
P19,arousal,1,5,96,24,65,55,logreg,paper_compact,all_channels,10,secondary,64,1,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.5569865319865319,0.6274509803921569,True
P19,arousal,1,5,96,24,65,55,logreg,paper_compact,all_channels,10,secondary,64,2,"{""classifier__C"": 0.1, ""classifier__class_weight"": null}",0.6406565656565656,0.5941176470588235,True
P19,arousal,1,5,96,24,65,55,logreg,paper_compact,all_channels,10,secondary,64,3,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.5111111111111112,0.6349206349206349,True
P19,arousal,1,5,96,24,65,55,svm,paper_compact,all_channels,10,secondary,64,1,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.6196969696969696,0.611764705882353,False
P19,arousal,1,5,96,24,65,55,svm,paper_compact,all_channels,10,secondary,64,2,"{""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.6347643097643098,0.5941176470588235,False
P19,arousal,1,5,96,24,65,55,svm,paper_compact,all_channels,10,secondary,64,3,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced"", ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5777777777777778,0.4523809523809524,False
P19,arousal,1,5,96,24,65,55,gnb,paper_compact,all_channels,10,secondary,64,1,"{""classifier__var_smoothing"": 1e-11}",0.5708754208754209,0.5313725490196078,False
P19,arousal,1,5,96,24,65,55,gnb,paper_compact,all_channels,10,secondary,64,2,"{""classifier__var_smoothing"": 1e-11}",0.5754208754208754,0.5019607843137255,False
P19,arousal,1,5,96,24,65,55,gnb,paper_compact,all_channels,10,secondary,64,3,"{""classifier__var_smoothing"": 1e-11}",0.5232323232323233,0.626984126984127,False
P19,arousal,1,5,96,24,65,55,logreg,paper_compact,frontal_central,8,secondary,32,1,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.514057239057239,0.46862745098039216,False
P19,arousal,1,5,96,24,65,55,logreg,paper_compact,frontal_central,8,secondary,32,2,"{""classifier__C"": 1, ""classifier__class_weight"": null}",0.5890572390572391,0.5607843137254902,False
P19,arousal,1,5,96,24,65,55,logreg,paper_compact,frontal_central,8,secondary,32,3,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced""}",0.5472222222222222,0.5,False
P19,arousal,1,5,96,24,65,55,svm,paper_compact,frontal_central,8,secondary,32,1,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.6015151515151514,0.49411764705882355,False
P19,arousal,1,5,96,24,65,55,svm,paper_compact,frontal_central,8,secondary,32,2,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.01, ""classifier__kernel"": ""rbf""}",0.5853535353535353,0.615686274509804,False
P19,arousal,1,5,96,24,65,55,svm,paper_compact,frontal_central,8,secondary,32,3,"{""classifier__C"": 10, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.6131313131313132,0.5357142857142857,False
P19,arousal,1,5,96,24,65,55,gnb,paper_compact,frontal_central,8,secondary,32,1,"{""classifier__var_smoothing"": 1e-11}",0.5523569023569023,0.5274509803921569,False
P19,arousal,1,5,96,24,65,55,gnb,paper_compact,frontal_central,8,secondary,32,2,"{""classifier__var_smoothing"": 1e-11}",0.577946127946128,0.5607843137254902,False
P19,arousal,1,5,96,24,65,55,gnb,paper_compact,frontal_central,8,secondary,32,3,"{""classifier__var_smoothing"": 1e-11}",0.4775252525252525,0.5992063492063493,False
P19,arousal,1,5,96,24,65,55,logreg,paper_compact,frontal_central,10,secondary,32,1,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.5473905723905724,0.5313725490196078,False
P19,arousal,1,5,96,24,65,55,logreg,paper_compact,frontal_central,10,secondary,32,2,"{""classifier__C"": 0.01, ""classifier__class_weight"": ""balanced""}",0.5754208754208755,0.5647058823529412,False
P19,arousal,1,5,96,24,65,55,logreg,paper_compact,frontal_central,10,secondary,32,3,"{""classifier__C"": 1, ""classifier__class_weight"": null}",0.5414141414141413,0.5198412698412699,False
