participant,target,outer_fold,outer_folds,outer_train_size,outer_test_size,low_count,high_count,classifier,feature_family,channel_subset,feature_count_request,analysis_tier,available_feature_count,selection_fold,tuning_best_parameters,tuning_inner_balanced_accuracy,selection_validation_ba_fixed_050,selected_candidate
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,10,primary,16,2,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.5153186274509803,0.5,False
P07,valence,1,5,92,24,24,92,logreg,hjorth,all_channels,10,primary,16,3,"{""classifier__C"": 0.1, ""classifier__class_weight"": ""balanced""}",0.49031862745098037,0.5416666666666667,False
P07,valence,1,5,92,24,24,92,svm,hjorth,all_channels,10,primary,16,1,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5,0.5,False
P07,valence,1,5,92,24,24,92,svm,hjorth,all_channels,10,primary,16,2,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__kernel"": ""linear""}",0.5520833333333334,0.5,False
P07,valence,1,5,92,24,24,92,svm,hjorth,all_channels,10,primary,16,3,"{""classifier__C"": 1, ""classifier__class_weight"": null, ""classifier__gamma"": 0.001, ""classifier__kernel"": ""rbf""}",0.5,0.5,False
P07,valence,1,5,92,24,24,92,gnb,hjorth,all_channels,10,primary,16,1,"{""classifier__var_smoothing"": 1e-11}",0.4395833333333334,0.4033333333333333,False
P07,valence,1,5,92,24,24,92,gnb,hjorth,all_channels,10,primary,16,2,"{""classifier__var_smoothing"": 1e-11}",0.45159313725490197,0.4166666666666667,False
P07,valence,1,5,92,24,24,92,gnb,hjorth,all_channels,10,primary,16,3,"{""classifier__var_smoothing"": 1e-11}",0.5131127450980392,0.5625,False
P07,valence,1,5,92,24,24,92,logreg,time_statistical,all_channels,all,primary,8,1,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced""}",0.5354166666666667,0.4666666666666667,False
P07,valence,1,5,92,24,24,92,logreg,time_statistical,all_channels,all,primary,8,2,"{""classifier__C"": 0.01, ""classifier__class_weight"": null}",0.5104166666666666,0.5,False
P07,valence,1,5,92,24,24,92,logreg,time_statistical,all_channels,all,primary,8,3,"{""classifier__C"": 1, ""classifier__class_weight"": ""balanced""}",0.5387254901960784,0.5208333333333333,False
